assists,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,dreamteam_count,ea_index,element_type,ep_next,ep_this,event_points,first_name,form,goals_conceded,goals_scored,ict_index,id,in_dreamteam,influence,loaned_in,loaned_out,loans_in,loans_out,minutes,news,now_cost,own_goals,penalties_missed,penalties_saved,photo,points_per_game,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,threat,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards,year,Season,news_added,"year, id",uuid,position
0,0,18,100,100,0,48844,0,0,-3,3,0.0,0,56.0,1,0.0,0.0,0,David,0.0,4,0,2.9,1,False,28.8,0.0,0.0,0.0,0.0,143,,47,0,0,0,48844.jpg,1.0,0,4,Ospina,0.2,False,13,a,1,3,0.0,2,3433,0,7905,0,0.0,0.4,Ospina,0,2016,2016-17,,"(2016, 1)",67307adc-97a0-4519-95b2-e563af925c52,GK
0,2,660,100,100,12,11334,0,0,-1,1,0.1,0,409.0,1,6.0,0.0,4,Petr,0.0,37,0,82.0,2,False,819.8,0.0,0.0,0.0,0.0,3097,,54,1,0,0,11334.jpg,3.8,0,115,Cech,13.7,False,33,a,1,3,0.0,134,432837,0,590727,0,0.0,24.8,Cech,2,2016,2016-17,,"(2016, 2)",29818741-ad3e-475d-a4ff-63418b3abf73,GK
1,19,723,0,75,10,51507,0,0,1,-1,53.9,3,493.0,2,1.7,0.0,-2,Laurent,0.0,37,2,112.7,3,False,831.2,0.0,0.0,0.0,0.0,2821,Suspended - unknown return date,61,0,0,0,51507.jpg,3.7,1,0,Koscielny,11.2,False,6,s,1,3,239.0,121,965040,0,857277,0,0.0,19.8,Koscielny,4,2016,2016-17,,"(2016, 3)",a6cebb14-391d-41fa-845b-735aef97fb38,DEF
0,0,5,100,100,0,17127,0,0,-2,2,0.1,0,265.0,2,0.0,0.0,1,Per,0.0,1,0,1.8,4,False,17.8,0.0,0.0,0.0,0.0,38,,48,0,0,0,17127.jpg,1.0,0,0,Mertesacker,0.2,False,4,a,1,3,0.0,1,2141,0,5912,0,0.0,0.2,Mertesacker,0,2016,2016-17,,"(2016, 4)",4c149182-e1fa-45d0-923d-2fa3c4d39c93,DEF
0,2,296,75,100,5,158074,0,0,-2,2,84.5,0,244.0,2,1.0,0.0,0,Gabriel Armando,0.0,18,0,50.0,5,False,295.8,0.0,0.0,0.0,0.0,1517,Knee injury - 75% chance of playing,48,0,0,0,158074.jpg,2.4,0,0,de Abreu,0.8,False,5,d,1,3,119.0,45,119600,0,100361,0,0.0,9.4,Gabriel,6,2016,2016-17,,"(2016, 5)",3b78e284-6f29-478f-a19e-a6902b8d3939,DEF
5,12,569,100,100,10,98745,0,0,0,0,508.3,2,541.0,2,3.8,0.0,8,Héctor,0.0,34,1,133.8,6,False,437.6,0.0,0.0,0.0,0.0,2503,,65,0,0,0,98745.jpg,3.6,0,0,Bellerín,13.9,False,24,a,1,3,395.0,119,403777,0,1025895,0,0.0,18.3,Bellerín,4,2016,2016-17,,"(2016, 6)",40666611-ae31-4187-84ec-9f372c19afcf,DEF
1,3,201,75,100,6,42427,0,0,-3,3,171.4,1,69.0,2,4.7,0.0,0,Kieran,0.0,3,0,43.1,7,False,142.4,0.0,0.0,0.0,0.0,702,Thigh injury - 75% chance of playing,47,0,0,0,42427.jpg,4.1,0,0,Gibbs,1.7,False,3,d,1,3,117.0,45,70359,0,30650,0,0.0,9.6,Gibbs,3,2016,2016-17,,"(2016, 7)",edd1946e-fccb-4e38-97bb-5bfd154e70da,DEF
0,0,2,100,100,0,27334,0,0,-4,4,1.4,0,11.0,2,0.0,0.0,0,Mathieu,0.0,0,0,0.2,8,False,1.0,0.0,0.0,0.0,0.0,15,,46,0,0,0,27334.jpg,1.0,0,0,Debuchy,0.2,False,2,a,1,3,0.0,1,2211,0,10701,0,0.0,0.2,Debuchy,0,2016,2016-17,,"(2016, 8)",c693bcf6-1fd9-4ac2-ac61-99c930074e0e,DEF
0,0,12,100,100,0,80254,0,0,-2,2,2.0,0,178.0,2,0.0,0.0,0,Carl,0.0,1,0,2.1,9,False,19.4,0.0,0.0,0.0,0.0,82,,48,0,0,0,80254.jpg,2.0,0,0,Jenkinson,0.1,False,25,a,1,3,0.0,2,9727,0,10032,0,0.0,0.4,Jenkinson,0,2016,2016-17,,"(2016, 9)",754dcdca-76c4-4908-a1f9-53849a4f818e,DEF
3,9,681,100,100,11,38411,0,0,-1,1,280.3,1,511.0,2,5.2,0.0,2,Nacho,0.0,43,0,105.8,10,False,554.0,0.0,0.0,0.0,0.0,3153,,59,0,0,0,38411.jpg,3.2,0,0,Monreal,6.4,False,18,a,1,3,220.0,115,299355,0,273214,0,0.0,19.5,Monreal,5,2016,2016-17,,"(2016, 10)",2c5ba404-3d29-48bf-91e3-e30784b8b7e1,DEF
